Östlig koordinat;Nordlig koordinat;z;Plats;Djup (längd);Borr-avslut;diameter (mm);material;Rör överkant (Rök);Rör över marknivå (Röm);Marknivå;obsid;Status;Copy this Data for Point;Copy for Point ID;Placering
154802.1466;6591772.017;0;galoppfältet;0;;51;stål;14,34;1;13.3384;21BT36;aktiv;point 154802.1466,6591772.017,0;-text 154802.1466,6591772.017,0   21BT36;Behöver flyttas inom 2 år (i samråd med TK)
154330.3842;6591969.996;0;galoppfältet;7,4;;51;stål;14,53;0,6;13.931;21BT28;aktiv;point 154330.3842,6591969.996,0;-text 154330.3842,6591969.996,0   21BT28;-
155059.467;6592483.445;0;gc_tunnel;3,064;;51;HDPE;12,35;0;11.417;G11A9001;aktiv;point 155059.467,6592483.445,0;-text 155059.467,6592483.445,0   G11A9001;TKs mättning
155029.9472;6592580.049;0;gc_tunnel;4,055;;25;stål;13,255;-0,075;12.892;NC1720;aktiv;point 155029.9472,6592580.049,0;-text 155029.9472,6592580.049,0   NC1720;TKs mättning
155313.6127;6592711.516;0;gc_tunnel;6;;50;PEH;13,165;0,68;0;08W05G;aktiv;point 155313.6127,6592711.516,0;-text 155313.6127,6592711.516,0   08W05G;TKs mättning
154919.0408;6592493.918;0;gc_tunnel;5,5;;25,4;stål;13,4999;0,86;12.7369;18MG002;aktiv;point 154919.0408,6592493.918,0;-text 154919.0408,6592493.918,0   18MG002;TKs mättning
155330.9548;6592584.024;0;gc_tunnel;5,6;;25;stål;12,11;1,5;10.61;09W01G;aktiv;point 155330.9548,6592584.024,0;-text 155330.9548,6592584.024,0   09W01G;TKs mättning
155068.05;6592608.28;0;gc_tunnel;7,42;;51;stål;14,974;1,53;13.444;19T06GW;aktiv;point 155068.05,6592608.28,0;-text 155068.05,6592608.28,0   19T06GW;TKs mättning
155379.4279;6592762.179;0;gc_tunnel;0;;24,5;stål;11,8713;0;10.8433;20GN001;aktiv;point 155379.4279,6592762.179,0;-text 155379.4279,6592762.179,0   20GN001;TKs mättning
155216.532;6592587.257;0;gc_tunnel;0;;51;stål;13,135;0;12.1;Rb2;aktiv;point 155216.532,6592587.257,0;-text 155216.532,6592587.257,0   Rb2;TKs mättning
